"","pitcher_name","player_name","game_date","events","launch_angle","launch_speed","video_url"
"134","Yoshinobu Yamamoto","Merrill, Jackson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=93878987-4e6e-41bf-9f99-69fffabafc36"
"135","Ryan Brasier","Profar, Jurickson",2024-10-05,"strikeout",NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=cb017832-00f8-4f19-9427-6641c6f73d00"
"136","Blake Treinen","Díaz, Elias",2024-10-05,NA,63,65.8,"https://baseballsavant.mlb.com/sporty-videos?playId=535f8234-c330-4646-95bf-f3f1f88dd79c"
"137","Jason Adam","Hernández, Teoscar",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=39897e82-367f-4064-bf9e-badd7804323b"
"138","Michael Kopech","Merrill, Jackson",2024-10-05,NA,23,82.7,"https://baseballsavant.mlb.com/sporty-videos?playId=d7da477a-66c5-498e-a945-257f667e2274"
"139","Yoshinobu Yamamoto","Merrill, Jackson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=d3f3ef06-4a33-4568-8690-81a2ea5aacc7"
"140","Dylan Cease","Muncy, Max",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=baae80d0-31dc-43b2-8a05-977a4f7a327e"
"141","Jason Adam","Hernández, Teoscar",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=70026084-054f-4ce2-9533-d215edec7c53"
"142","Michael Kopech","Merrill, Jackson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=f27066e1-95ae-4ed3-ae89-4c0e789654d5"
"143","Yoshinobu Yamamoto","Machado, Manny",2024-10-05,"home_run",28,103.3,"https://baseballsavant.mlb.com/sporty-videos?playId=48891ed4-70e2-4e8b-9e1b-a6e717e22da8"
"144","Ryan Brasier","Profar, Jurickson",2024-10-05,NA,81,78.8,"https://baseballsavant.mlb.com/sporty-videos?playId=3f050b38-a808-4d50-b5ef-ce71ec0f4c71"
"145","Dylan Cease","Hernández, Teoscar",2024-10-05,"force_out",-10,77.9,"https://baseballsavant.mlb.com/sporty-videos?playId=e6d3cde3-9169-4c57-90bf-f6f3382833ba"
"146","Blake Treinen","Díaz, Elias",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=5320b722-e0a7-4537-a12f-ad9b1fdcfbb0"
"147","Jeremiah Estrada","Rojas, Miguel",2024-10-05,"field_out",60,72.6,"https://baseballsavant.mlb.com/sporty-videos?playId=cf1d91a7-3bb2-4cdd-94d7-ac9f7426b87a"
